Initializing IMU device...
Testing device connections...
CurieIMU connection successful
About to calibrate. Make sure your board is stable and upright
Starting Gyroscope calibration... Done
Starting Acceleration calibration... Done
Internal sensor offsets AFTER calibration...
-20	-44	19	3	14	-7
Enabling Gyroscope/Acceleration offset compensation
1
1
sampling period: 16000.00
n
Started timed_IMU_ISR
0 1:112.00 2:16215.00 3:205246.11 4:288.37 5:475.85 6:446.36 7:618.60 8:818.64 9:691.97 10:356.91
0 1:102.00 2:16243.00 3:203596.95 4:404.15 5:369.24 6:770.54 7:1101.42 8:649.58 9:470.82 10:692.23
0 1:154.00 2:16247.00 3:203179.25 4:256.76 5:557.86 6:660.70 7:641.01 8:639.65 9:778.15 10:455.63
0 1:163.00 2:16252.00 3:203104.39 4:1191.11 5:965.64 6:869.75 7:395.90 8:1214.96 9:494.52 10:534.84
0 1:106.00 2:16257.00 3:200350.11 4:462.33 5:449.94 6:540.88 7:383.08 8:732.62 9:609.56 10:496.12
0 1:122.00 2:16283.00 3:198326.73 4:208.64 5:339.09 6:692.26 7:1299.21 8:1084.14 9:570.96 10:602.90
0 1:2124.00 2:16247.00 3:209220.08 4:17266.99 5:10781.85 6:5992.42 7:3548.06 8:4621.36 9:4093.95 10:2569.61
0 1:2879.00 2:15782.00 3:250852.19 4:25141.64 5:38616.43 6:8530.65 7:14755.59 8:7866.79 9:14867.30 10:6949.37
0 1:793.00 2:15032.00 3:326464.66 4:6293.27 5:7883.31 6:6903.44 7:1015.87 8:1452.08 9:1301.78 10:2167.66
0 1:330.00 2:15000.00 3:327445.50 4:1154.12 5:1301.21 6:3387.91 7:3007.31 8:1032.08 9:890.12 10:1314.19
0 1:279.00 2:15051.00 3:323658.13 4:2093.60 5:2032.07 6:2587.58 7:1717.36 8:1091.12 9:843.85 10:878.28
0 1:199.00 2:15064.00 3:319746.13 4:579.78 5:483.70 6:778.74 7:1231.58 8:722.56 9:880.11 10:763.85
0 1:159.00 2:15041.00 3:319284.94 4:770.22 5:1390.59 6:842.25 7:856.89 8:1166.83 9:774.48 10:682.93
0 1:174.00 2:15048.00 3:318560.91 4:687.38 5:581.09 6:740.37 7:522.01 8:519.00 9:909.76 10:870.68
0 1:160.00 2:15086.00 3:314266.59 4:559.23 5:1022.94 6:1130.25 7:1678.78 8:1257.56 9:641.52 10:947.86
0 1:260.00 2:15064.00 3:314615.06 4:5078.03 5:4124.05 6:1683.44 7:934.14 8:1010.82 9:695.40 10:871.53
0 1:209.00 2:15086.00 3:310117.59 4:2424.90 5:3656.26 6:2884.16 7:2289.66 8:975.19 9:1417.90 10:1195.73
0 1:80.00 2:15029.00 3:316874.66 4:404.57 5:668.81 6:702.47 7:797.24 8:976.31 9:402.55 10:953.39
0 1:90.00 2:15031.00 3:316346.72 4:447.80 5:567.29 6:748.75 7:1216.87 8:722.85 9:665.81 10:824.73
0 1:111.00 2:15044.00 3:315463.13 4:441.51 5:548.77 6:756.80 7:785.94 8:723.65 9:986.72 10:745.37
0 1:74.00 2:15058.00 3:314568.16 4:355.74 5:612.14 6:733.80 7:756.44 8:890.67 9:516.77 10:852.57
0 1:94.00 2:15049.00 3:315525.09 4:346.19 5:800.28 6:573.18 7:821.14 8:908.89 9:604.44 10:861.62
0 1:240.00 2:15061.00 3:315060.59 4:729.05 5:1262.64 6:1524.52 7:1483.26 8:1377.83 9:948.55 10:673.63
0 1:106.00 2:15132.00 3:308344.22 4:373.04 5:796.18 6:640.64 7:603.70 8:1026.48 9:910.42 10:896.77
0 1:318.00 2:15111.00 3:307436.81 4:1675.01 5:1442.71 6:1749.04 7:1643.43 8:990.35 9:757.72 10:972.89
0 1:136.00 2:15060.00 3:312368.06 4:467.89 5:661.81 6:932.91 7:846.38 8:605.69 9:1436.43 10:765.17
0 1:118.00 2:15102.00 3:309130.47 4:433.76 5:676.34 6:934.79 7:546.08 8:785.25 9:877.43 10:840.64
0 1:178.00 2:15142.00 3:306438.25 4:1202.10 5:604.99 6:1101.45 7:1167.77 8:706.35 9:1121.92 10:800.19
0 1:90.00 2:15135.00 3:303678.78 4:434.97 5:559.67 6:749.34 7:888.37 8:702.56 9:829.26 10:692.24
0 1:66.00 2:15165.00 3:303897.13 4:524.37 5:561.75 6:729.09 7:652.32 8:820.12 9:810.07 10:766.72
0 1:113.00 2:15152.00 3:303929.59 4:328.33 5:564.92 6:786.67 7:743.79 8:786.15 9:1158.16 10:872.16
0 1:132.00 2:15180.00 3:303362.78 4:471.27 5:1330.11 6:894.56 7:928.59 8:568.48 9:1001.93 10:937.59
0 1:74.00 2:15164.00 3:303022.41 4:418.68 5:693.59 6:336.25 7:1117.64 8:739.00 9:837.01 10:939.90
0 1:769.00 2:15107.00 3:303675.97 4:1689.00 5:996.91 6:1819.67 7:1598.95 8:1840.14 9:762.68 10:1067.48
0 1:159.00 2:14990.00 3:315501.41 4:502.35 5:951.83 6:724.71 7:753.14 8:1167.42 9:1010.92 10:721.95
0 1:170.00 2:15001.00 3:315644.66 4:1526.83 5:2238.69 6:2625.92 7:2506.16 8:1611.90 9:1597.58 10:1799.85
0 1:242.00 2:15036.00 3:310977.25 4:1593.50 5:1091.97 6:1061.80 7:1155.92 8:1358.89 9:1261.04 10:1142.20
0 1:95.00 2:15055.00 3:310510.28 4:735.30 5:561.28 6:607.11 7:1016.47 8:981.35 9:1434.43 10:713.84
0 1:129.00 2:15063.00 3:309324.56 4:635.79 5:1056.89 6:944.56 7:1046.49 8:1805.68 9:1258.12 10:1461.86
0 1:78.00 2:15064.00 3:309994.25 4:630.50 5:739.14 6:583.64 7:747.11 8:629.17 9:912.79 10:817.49
0 1:79.00 2:15059.00 3:310049.50 4:259.52 5:741.42 6:629.60 7:645.54 8:809.46 9:1021.51 10:805.87
0 1:165.00 2:15045.00 3:310593.72 4:475.60 5:1113.56 6:2223.93 7:2449.97 8:1478.38 9:1089.10 10:1211.74
0 1:314.00 2:15041.00 3:310615.91 4:1401.67 5:1293.77 6:2140.72 7:1478.83 8:2358.43 9:1210.53 10:919.58
0 1:125.00 2:15012.00 3:310685.47 4:614.02 5:1438.46 6:633.42 7:1414.47 8:895.97 9:903.48 10:661.18
0 1:294.00 2:15040.00 3:312289.09 4:887.10 5:2238.43 6:3186.82 7:3645.53 8:882.37 9:1896.50 10:1236.24
0 1:301.00 2:14947.00 3:314482.25 4:1091.63 5:1453.23 6:992.36 7:1379.36 8:1557.77 9:1212.10 10:1446.68
0 1:170.00 2:14992.00 3:311399.47 4:455.35 5:1105.39 6:868.21 7:2681.15 8:2011.07 9:1383.63 10:1279.56
0 1:131.00 2:14996.00 3:312298.56 4:643.56 5:754.29 6:440.52 7:847.74 8:1283.20 9:969.57 10:932.77
0 1:132.00 2:15022.00 3:309197.97 4:388.20 5:1141.00 6:978.41 7:977.39 8:1196.20 9:940.95 10:867.87
0 1:369.00 2:15069.00 3:307325.78 4:1668.49 5:4147.72 6:3181.21 7:3393.52 8:1849.96 9:2170.59 10:938.55
0 1:92.00 2:15023.00 3:308716.53 4:576.15 5:505.71 6:726.71 7:613.77 8:867.91 9:821.39 10:1015.72
0 1:70.00 2:15000.00 3:313124.19 4:414.89 5:594.68 6:857.33 7:756.33 8:758.62 9:1088.19 10:817.15
0 1:79.00 2:14977.00 3:313487.84 4:383.47 5:614.33 6:771.64 7:787.82 8:682.11 9:868.59 10:493.22
0 1:91.00 2:14990.00 3:314586.16 4:351.40 5:623.31 6:746.55 7:871.70 8:660.71 9:686.05 10:980.00
0 1:89.00 2:14976.00 3:314107.22 4:789.47 5:666.28 6:1030.03 7:1333.91 8:1386.83 9:967.58 10:754.23
0 1:3520.00 2:14908.00 3:326481.75 4:13296.96 5:4499.90 6:3771.76 7:2108.67 8:3459.64 9:4534.70 10:3381.83
0 1:5677.00 2:12945.00 3:364758.50 4:9868.41 5:6442.38 6:8596.40 7:12069.96 8:6049.68 9:8498.62 10:9085.47
0 1:2049.00 2:13250.00 3:244782.81 4:2949.72 5:2801.38 6:1002.45 7:1629.50 8:2377.29 9:2256.89 10:826.32
0 1:1632.00 2:13675.00 3:187787.33 4:4758.17 5:2508.61 6:4254.72 7:3421.40 8:1939.15 9:1351.93 10:1270.42
0 1:253.00 2:13752.00 3:158908.33 4:543.71 5:522.77 6:482.81 7:448.16 8:331.95 9:525.01 10:367.88
0 1:257.00 2:13794.00 3:156103.30 4:835.72 5:945.22 6:655.41 7:600.94 8:621.40 9:1071.80 10:675.36
0 1:2872.00 2:14239.00 3:195272.50 4:19686.93 5:10576.70 6:4554.10 7:4568.08 8:4845.01 9:4444.74 10:5096.49
0 1:9351.00 2:17235.00 3:63167.14 4:30134.28 5:41928.63 6:26607.52 7:19036.77 8:17290.36 9:11058.14 10:5201.33
0 1:11823.00 2:18046.00 3:174860.92 4:22361.07 5:12104.21 6:15314.88 7:20272.86 8:14143.07 9:20918.59 10:10909.81
0 1:4721.00 2:18828.00 3:274907.53 4:11503.35 5:2580.49 6:6947.89 7:2534.96 8:5379.13 9:1893.09 10:2849.20
0 1:3820.00 2:18174.00 3:215771.69 4:10292.54 5:1117.10 6:2722.73 7:1764.79 8:2968.84 9:3230.04 10:1852.07
0 1:6408.00 2:18173.00 3:151867.67 4:29732.51 5:9748.84 6:8999.76 7:5617.23 8:7061.12 9:1328.83 10:6188.47
0 1:4741.00 2:17125.00 3:120329.62 4:43523.85 5:13873.92 6:15954.14 7:9201.22 8:8382.49 9:11435.78 10:9112.06
0 1:1112.00 2:17820.00 3:56614.69 4:4108.29 5:2655.41 6:2359.61 7:1613.43 8:1472.04 9:1328.60 10:438.06
0 1:979.00 2:17966.00 3:95603.60 4:8292.13 5:7500.31 6:4354.39 7:3951.28 8:3102.08 9:3737.07 10:2346.97
0 1:341.00 2:18078.00 3:89360.31 4:616.75 5:819.35 6:2168.16 7:1162.42 8:556.50 9:393.67 10:903.92
0 1:146.00 2:18076.00 3:84779.70 4:121.06 5:238.52 6:396.67 7:316.53 8:696.60 9:595.57 10:521.05
0 1:58.00 2:18088.00 3:87064.70 4:163.53 5:209.64 6:706.91 7:578.99 8:360.39 9:410.42 10:667.72
0 1:64.00 2:18093.00 3:87928.94 4:388.68 5:228.60 6:320.03 7:271.53 8:270.39 9:519.72 10:541.88
0 1:74.00 2:18101.00 3:89952.30 4:231.11 5:303.14 6:909.87 7:874.95 8:787.09 9:860.48 10:513.00
0 1:64.00 2:18112.00 3:90997.65 4:219.11 5:218.59 6:384.89 7:432.20 8:537.08 9:488.90 10:274.01
0 1:65.00 2:18111.00 3:91451.55 4:116.81 5:195.81 6:276.29 7:307.86 8:440.77 9:509.92 10:303.99
0 1:74.00 2:18111.00 3:92313.38 4:273.69 5:239.21 6:519.63 7:286.10 8:420.90 9:656.68 10:384.73
0 1:363.00 2:18114.00 3:90978.41 4:14108.18 5:13026.89 6:8773.77 7:3112.50 8:3131.36 9:3952.17 10:1981.76
0 1:88.00 2:18117.00 3:92651.53 4:248.10 5:352.56 6:304.37 7:250.73 8:439.74 9:521.11 10:351.45
0 1:63.00 2:18121.00 3:91036.51 4:265.60 5:187.43 6:337.99 7:169.31 8:505.55 9:682.30 10:620.09
0 1:60.00 2:18120.00 3:92291.76 4:331.70 5:261.15 6:263.25 7:170.81 8:417.40 9:638.44 10:476.73
0 1:123.00 2:18106.00 3:89155.16 4:2287.38 5:2226.18 6:2292.15 7:2395.24 8:1014.49 9:886.18 10:938.04
0 1:81.00 2:18096.00 3:86602.10 4:508.29 5:619.12 6:184.92 7:270.01 8:535.97 9:714.50 10:557.43
0 1:228.00 2:18089.00 3:84349.87 4:2873.05 5:4686.01 6:5585.10 7:1374.68 8:2393.68 9:682.11 10:547.79
0 1:102.00 2:18105.00 3:86044.87 4:816.28 5:420.49 6:592.87 7:451.82 8:570.61 9:710.64 10:297.43
